location	code	product_ean	store_name
America/Sao_Paulo	BR	3146833119797	Palmeira
Europe/Zaporozhye	UA	5242711261997	Polohy
Africa/Lagos	NG	4594442618580	Lagos
Asia/Kolkata	IN	1317624489050	Madhipura
America/New_York	US	4361524234705	Kensington
Europe/Paris	FR	7769906662936	Sceaux
Europe/Berlin	DE	8221411721861	Landshut
Europe/Samara	RU	2327029459779	Otradnyy
America/Bogota	CO	1420328909868	Puerto Colombia
Africa/Lagos	NG	2465629537616	Ilesa
Africa/Dar_es_Salaam	TZ	9509067041540	Magomeni
Asia/Hong_Kong	HK	0495773752148	Tsuen Wan
Europe/Berlin	DE	7918294226682	Hermsdorf
Asia/Kolkata	IN	3839829745093	Malaut
America/New_York	US	0758009609679	Taunton
Asia/Shanghai	CN	6436592371213	Taozhuang
America/New_York	US	2207355806815	Thomasville
Europe/Warsaw	PL	3335094255683	Zgorzelec
Asia/Jerusalem	IL	2901174400826	Ganei Tikva
America/Panama	PA	6929570245670	Veracruz
Africa/Lagos	NG	4749222326555	Biu
Europe/Paris	FR	9788191053425	Elbeuf
Europe/Paris	FR	8986885794338	Fontenay-aux-Roses
America/Bahia	BR	4808201170159	Tucano
Europe/Kiev	UA	6675562435818	Voznesensk
Europe/Berlin	DE	5691201272393	Charlottenburg-Nord
Asia/Shanghai	CN	2583990210461	Tianfu
America/Los_Angeles	US	4851680851835	Mira Mesa
Asia/Yekaterinburg	RU	4277203421680	Ozersk
Europe/Istanbul	TR	8389740488821	Mardin
America/Guayaquil	EC	7604394927504	Milagro
America/New_York	US	9864637817797	Scarsdale
America/New_York	US	9584880254704	Belle Glade
Asia/Kolkata	IN	3404831535767	Osmanabad
America/Mexico_City	MX	5901876905701	Casa Blanca
Europe/London	GB	6773890323293	Inverness
Europe/Istanbul	TR	7793560350182	Gaziantep
America/Bogota	CO	7516793696533	Honda
Asia/Shanghai	CN	7065702887970	Changzhi
Asia/Kolkata	IN	7532309836446	Aistala
America/New_York	US	6901874959217	Greenpoint
Asia/Kolkata	IN	2403001539018	Chharra
Asia/Shanghai	CN	6960946593742	Nanpiao
Europe/Berlin	DE	4714558503307	Bad Honnef
America/Lima	PE	3737582191334	Chosica
America/New_York	US	4783346163566	Gates-North Gates
Asia/Kolkata	IN	1426907399181	Uran
Europe/Madrid	ES	1374228266548	Amposta
Asia/Kolkata	IN	8301131558494	Moga
Europe/Kiev	UA	5236393686537	Krasyliv
Asia/Yekaterinburg	RU	5685948282722	Saraktash
Asia/Jerusalem	IL	6009890562562	Ganei Tikva
Africa/Lagos	NG	0504296814667	Igbara-Odo
Europe/Istanbul	TR	5628901465312	Aksaray
America/Bogota	CO	1658852576113	Andes
Africa/Blantyre	MW	8993588645829	Salima
Asia/Kolkata	IN	3558896509697	Haldwani
Asia/Tashkent	UZ	0854413788587	Parkent
America/Toronto	CA	0737478737236	Markham
Europe/Berlin	DE	8956367062897	Dahlem
America/Santiago	CL	8066169325271	Ovalle
Africa/Mogadishu	SO	0760105843062	Kismayo
Australia/Brisbane	AU	3460845304614	Maryborough
Europe/Zurich	CH	1178793305370	Adliswil
America/New_York	US	0270886201598	Greenpoint
Asia/Samarkand	UZ	0513652436665	Jizzax
America/New_York	US	7866802566631	Woodlawn
Asia/Tokyo	JP	5318418326724	Komono
Asia/Karachi	PK	5432973486799	Kanganpur
America/Argentina/Buenos_Aires	AR	7759803296730	Tandil
Europe/Istanbul	TR	0688137085314	Mudanya
America/Los_Angeles	US	7452236150524	Camarillo
America/Bogota	CO	7603053110929	Puerto Colombia
Asia/Shanghai	CN	8226618671582	Haicheng
Asia/Makassar	ID	2829721385344	Balikpapan
America/New_York	US	4698753361187	Far Rockaway
America/New_York	US	3071034987725	Middle River
Asia/Manila	PH	6971914141049	Guyong
Europe/Rome	IT	6260060498207	Ariccia
Europe/Berlin	DE	2649041678137	Stade
Africa/Mogadishu	SO	6702500230652	Baki
America/Chicago	US	5678642454878	Murray
America/Toronto	CA	2568442701186	Beaconsfield
America/New_York	US	0037924771556	Rutland
Pacific/Port_Moresby	PG	4348749570764	Mount Hagen
America/Los_Angeles	US	8875569773373	Bryn Mawr-Skyway
America/Los_Angeles	US	1244922170499	South Whittier
Europe/Belgrade	XK	2612496227120	Glogovac
Asia/Bangkok	TH	5977414060539	Bang Ban
Asia/Kolkata	IN	7431629889708	Manjeri
America/New_York	US	7079956946680	Fitchburg
Asia/Kuala_Lumpur	MY	0356723196538	Batu Feringgi
America/New_York	US	3563066882135	Covington
Europe/Madrid	ES	5008701857973	Segundo Ensanche
Africa/Dar_es_Salaam	TZ	9460863785697	Mwandiga
Asia/Tokyo	JP	1828949484526	Annaka
America/New_York	US	5397893603360	Far Rockaway
Asia/Kolkata	IN	6797258578255	Pilkhua
America/Chicago	US	4967973099843	Lino Lakes
Europe/Rome	IT	5819798096561	Castelfranco Emilia
Asia/Urumqi	CN	9985480263576	Hoxtolgay
Indian/Antananarivo	MG	5568102037997	Ikalamavony
America/Chicago	US	3308402435008	Vestavia Hills
America/Bogota	CO	3899572038699	Madrid
America/Argentina/Ushuaia	AR	4822777089936	Ushuaia
Europe/Moscow	RU	1422249947752	Solntsevo
Asia/Kolkata	IN	6230306195702	Osmanabad
Asia/Shanghai	CN	9249446507457	Ulanhot
Asia/Tehran	IR	7826385025703	Darreh Shahr
Pacific/Auckland	NZ	2711652796125	Gisborne
Europe/Paris	FR	8898711447472	Saint-Genis-Laval
Asia/Kolkata	IN	6592021862674	Barpeta
Europe/London	GB	6933263172389	Lower Earley
Asia/Riyadh	SA	0625282304754	Al Jubayl
America/Chicago	US	1841827833575	Tyler
Asia/Jakarta	ID	7514521252709	Pekanbaru
Asia/Kolkata	IN	9704393129300	Betamcherla
Asia/Shanghai	CN	5697664565935	Meizhou
America/New_York	US	5238630270875	Lutz
America/Chicago	US	5393882954543	Bourbonnais
Europe/Rome	IT	1375086429045	Sassari
Europe/Sofia	BG	0324418952561	Smolyan
Asia/Kolkata	IN	4807447260433	Gingee
Africa/Accra	GH	1619009031978	Bibiani
America/El_Salvador	SV	7946758219598	Ilopango
Indian/Antananarivo	MG	3383312463815	Antanifotsy
America/New_York	US	5900425153891	Middle River
Asia/Jakarta	ID	2885257623695	Jambi City
America/El_Salvador	SV	8238202838592	Sonzacate
