pct_scroll_move_duration	pct_click_product_info	pct_click	pct_rage_click	pct_mouse_move	wild_mouse_duration	pct_wild_mouse	session_id	scroll_move_total_rel_distance	product_ean	pct_scrandom	total_load_time	screen_height	page_activity_duration	pct_scroll_move	session_duration	pct_doubleclick	ack	session_start	user_id	mouse_move_total_rel_distance	pct_input	screen_width	browser_name	pct_mouse_click
8.85488	43.64091	8.98795	40.67262	12.05233	10.92406	40.31171	631257	12.11598	6055136974989	65.98800	10.21067	768	10.99817	56.54960	89.75126	10.95194	0.00000	2021-11-14 18:41:59	973	7.26770	0.07011	1024	other	11.58339
5.51742	46.12390	9.49791	51.51026	12.40687	9.49005	43.79400	189788	5.36070	8394513754102	49.51935	8.95317	1080	10.69110	41.75321	182.38368	11.22674	0.00000	2023-06-05 02:49:55	1944	10.85288	0.01634	1280	other	13.61084
8.14823	48.82215	11.86306	65.56987	12.75475	11.24635	65.01636	241847	9.45548	3151508632051	40.43686	2.60002	1080	11.02959	48.31561	131.88025	12.45882	0.00000	2020-10-04 22:26:54	211	12.81383	0.09676	1366	edge	10.08739
7.55270	31.00850	13.40154	49.76564	12.43207	13.00626	60.59046	1065070	10.61975	1696354183545	32.82250	2.56607	768	10.83911	52.40660	38.58611	10.43164	0.00000	2019-11-04 04:03:38	2268	14.72482	0.55836	1280	chrome	7.63693
13.87674	54.07735	13.27578	32.79394	10.07664	13.50254	51.24497	1002613	11.71293	2095486426558	65.45590	8.44493	800	10.79694	56.51572	160.03964	11.49121	1.00000	2022-04-29 19:17:17	776	11.43008	0.91849	1920	chrome	13.02173
8.00233	49.55657	13.35264	56.19589	11.90939	12.56185	40.72192	915678	9.60633	2324478279989	41.25537	2.52100	600	10.65803	60.35027	65.33632	9.87574	0.00000	2023-07-30 11:38:44	729	14.38977	0.35904	1920	firefox	8.74056
13.77053	30.53462	9.16605	58.90678	7.50159	10.27152	59.74805	575929	9.31627	3866333038533	39.76280	5.38417	lower	10.40593	37.49813	228.93677	10.06355	1.00000	2020-02-22 19:07:11	1886	10.12163	0.03674	1920	edge	14.24879
13.86807	60.36014	9.18485	48.33040	7.89904	10.12424	24.70670	474573	9.26604	7115153647309	71.76456	7.22192	1080	10.69215	32.86494	152.08402	11.00668	1.00000	2019-04-09 01:55:06	1806	10.13442	0.03107	1024	chrome	14.48699
12.84994	41.48541	6.78634	60.82809	9.93841	8.69436	66.91547	1340405	10.83353	8770115066797	56.06990	0.84797	1080	11.66591	47.85144	245.84648	10.01210	1.00000	2023-02-12 04:33:55	1306	8.13661	0.00877	1920	safari	14.05299
10.94955	35.44512	10.62475	52.41248	7.99118	8.61806	75.62315	1438167	6.86985	3104677658803	36.99012	2.44942	768	8.35673	67.30795	144.70259	10.12466	1.00000	2020-05-21 06:16:16	1550	9.37663	0.00661	1920	opera	12.54279
